customer_id,age,tenure_months,monthly_charges,total_charges,support_calls,contract_type,internet_service,payment_method,paperless_billing,churn
CUST-DRI-0048,52,1,59.17,59.17,9,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0049,21,34,77.07,2641.11,0,Month-to-month,DSL,Bank transfer,No,0
CUST-DRI-0050,42,1,87.77,87.77,1,Month-to-month,DSL,Bank transfer,Yes,1
CUST-DRI-0051,43,1,53.27,95.95,1,Month-to-month,Fiber optic,Electronic check,Yes,0
CUST-DRI-0052,55,1,91.73,97.91,5,One year,DSL,Electronic check,Yes,1
CUST-DRI-0053,18,1,88.35,149.52,0,Month-to-month,No,Credit card,Yes,0
CUST-DRI-0054,40,14,79.21,1105.93,0,Month-to-month,DSL,Credit card,No,1
CUST-DRI-0055,40,1,88.61,146.8,2,Two year,DSL,Electronic check,Yes,0
CUST-DRI-0056,54,60,68.96,4073.33,0,Month-to-month,DSL,Electronic check,Yes,0
CUST-DRI-0057,42,36,57.88,2126.56,2,Two year,Fiber optic,Bank transfer,Yes,0
CUST-DRI-0058,32,1,107.46,156.26,2,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0059,28,4,78.85,188.75,2,Two year,DSL,Bank transfer,Yes,0
CUST-DRI-0060,18,9,132.46,1211.06,1,Two year,Fiber optic,Electronic check,Yes,0
CUST-DRI-0061,35,3,101.7,295.64,1,Month-to-month,No,Electronic check,Yes,1
CUST-DRI-0062,43,1,85.78,238.26,2,Month-to-month,DSL,Electronic check,Yes,0
CUST-DRI-0063,50,1,106.89,161.02,7,Month-to-month,DSL,Credit card,No,1
CUST-DRI-0064,38,11,89.23,977.85,0,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0065,18,72,98.02,7127.76,5,Month-to-month,DSL,Credit card,Yes,0
CUST-DRI-0066,31,32,66.87,2172.24,0,Month-to-month,Fiber optic,Electronic check,No,0
CUST-DRI-0067,29,1,75.54,75.54,5,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0068,51,49,93.65,4540.47,4,One year,DSL,Electronic check,Yes,1
CUST-DRI-0069,71,15,75.24,1141.57,0,Month-to-month,Fiber optic,Electronic check,Yes,0
CUST-DRI-0070,52,1,91.55,91.55,1,One year,Fiber optic,Mailed check,Yes,1
CUST-DRI-0071,30,1,90.63,90.63,4,Month-to-month,No,Electronic check,Yes,0
CUST-DRI-0072,34,7,110.35,856.24,4,One year,Fiber optic,Electronic check,No,1
CUST-DRI-0073,27,8,79.94,533.14,1,Month-to-month,DSL,Bank transfer,Yes,0
CUST-DRI-0074,44,1,88.53,88.53,2,Month-to-month,DSL,Electronic check,Yes,1
CUST-DRI-0075,26,56,90.83,4983.28,0,Month-to-month,DSL,Electronic check,No,0
CUST-DRI-0076,46,61,93.11,5603.02,0,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0077,45,31,95.34,2980.6,2,Month-to-month,DSL,Electronic check,No,0
CUST-DRI-0078,36,1,111.45,111.45,0,Month-to-month,DSL,Mailed check,Yes,1
CUST-DRI-0079,52,23,103.88,2456.79,1,Two year,DSL,Electronic check,Yes,0
CUST-DRI-0080,40,14,85.54,1170.41,0,Month-to-month,No,Bank transfer,No,0
CUST-DRI-0081,47,1,93.76,93.76,0,Month-to-month,Fiber optic,Electronic check,Yes,0
CUST-DRI-0082,32,1,69.91,69.91,0,Month-to-month,Fiber optic,Electronic check,No,0
CUST-DRI-0083,41,1,66.6,76.1,3,One year,No,Electronic check,Yes,1
CUST-DRI-0084,41,16,52.11,819.93,7,Month-to-month,No,Bank transfer,No,0
CUST-DRI-0085,50,17,92.79,1544.49,1,Month-to-month,DSL,Electronic check,Yes,1
CUST-DRI-0086,40,14,65.62,1028.59,1,Month-to-month,DSL,Electronic check,Yes,0
CUST-DRI-0087,40,23,69.14,1584.23,4,Two year,DSL,Mailed check,No,0
CUST-DRI-0088,43,1,89.08,165.08,1,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0089,37,50,83.8,4138.75,4,Month-to-month,DSL,Bank transfer,Yes,0
CUST-DRI-0090,35,10,86.02,890.76,4,Month-to-month,DSL,Credit card,No,0
CUST-DRI-0091,72,37,110.74,4059.36,3,Month-to-month,Fiber optic,Bank transfer,Yes,1
CUST-DRI-0092,43,30,72.97,2192.39,1,Month-to-month,No,Electronic check,Yes,0
CUST-DRI-0093,40,1,96.39,96.39,0,Month-to-month,Fiber optic,Credit card,No,0
CUST-DRI-0094,45,1,85.47,85.47,0,Month-to-month,DSL,Electronic check,Yes,1
CUST-DRI-0095,53,1,103.91,156.99,1,Month-to-month,Fiber optic,Bank transfer,Yes,1
CUST-DRI-0096,36,7,97.27,610.21,2,One year,Fiber optic,Bank transfer,Yes,1
CUST-DRI-0097,34,47,67.41,3202.27,3,Month-to-month,Fiber optic,Credit card,Yes,0
CUST-DRI-0098,27,40,67.63,2656.71,2,Month-to-month,No,Electronic check,Yes,0
CUST-DRI-0099,44,54,89.37,4760.15,2,Month-to-month,No,Electronic check,Yes,0
CUST-DRI-0100,64,18,96.85,1772.52,3,Month-to-month,No,Electronic check,No,0
CUST-DRI-0101,58,69,77.63,5287.55,4,Month-to-month,Fiber optic,Credit card,Yes,0
CUST-DRI-0102,36,56,85.18,4825.04,0,Month-to-month,No,Bank transfer,No,0
CUST-DRI-0103,50,47,80.5,3800.86,6,Two year,No,Electronic check,No,0
CUST-DRI-0104,27,19,69.22,1195.47,3,One year,Fiber optic,Bank transfer,Yes,0
CUST-DRI-0105,39,1,75.5,168.76,2,Month-to-month,DSL,Bank transfer,Yes,1
CUST-DRI-0106,40,72,96.54,6851.02,6,Month-to-month,DSL,Bank transfer,No,0
CUST-DRI-0107,39,1,112.94,112.94,2,Month-to-month,Fiber optic,Bank transfer,No,1
CUST-DRI-0108,32,16,75.55,1239.97,9,One year,No,Electronic check,No,0
CUST-DRI-0109,39,3,75.91,164.94,3,Month-to-month,DSL,Mailed check,No,0
CUST-DRI-0110,38,1,114.7,187.72,5,Month-to-month,No,Electronic check,Yes,1
CUST-DRI-0111,39,11,84.01,1022.88,3,Month-to-month,DSL,Bank transfer,No,0
CUST-DRI-0112,41,7,89.37,645.08,1,Month-to-month,DSL,Bank transfer,No,1
CUST-DRI-0113,42,1,67.93,67.93,4,Month-to-month,No,Electronic check,Yes,1
CUST-DRI-0114,30,6,72.77,559.65,2,One year,DSL,Electronic check,No,0
CUST-DRI-0115,45,1,72.15,90.5,1,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0116,18,11,102.14,1027.95,2,One year,No,Credit card,Yes,0
CUST-DRI-0117,22,9,77.75,740.59,1,Two year,DSL,Electronic check,No,0
CUST-DRI-0118,49,13,73.37,931.7,1,Month-to-month,DSL,Electronic check,Yes,0
CUST-DRI-0119,39,1,103.52,103.52,0,Two year,DSL,Credit card,No,0
CUST-DRI-0120,48,22,44.35,958.47,4,Month-to-month,DSL,Bank transfer,No,0
CUST-DRI-0121,55,1,96.36,112.88,1,One year,DSL,Electronic check,Yes,1
CUST-DRI-0122,47,1,59.04,129.03,1,Month-to-month,Fiber optic,Electronic check,No,1
CUST-DRI-0123,39,21,88.04,1640.7,6,Month-to-month,DSL,Electronic check,No,1
CUST-DRI-0124,37,72,65.24,4692.51,13,Month-to-month,Fiber optic,Credit card,No,0
CUST-DRI-0125,41,1,89.81,89.81,3,One year,DSL,Electronic check,No,1
CUST-DRI-0126,24,10,107.15,1017.69,4,Month-to-month,Fiber optic,Credit card,Yes,1
CUST-DRI-0127,53,1,93.88,93.88,0,Two year,No,Credit card,Yes,0
CUST-DRI-0128,40,10,76.67,691.7,0,Two year,Fiber optic,Electronic check,Yes,0
CUST-DRI-0129,65,31,96.46,2933.25,2,Month-to-month,DSL,Electronic check,Yes,1
CUST-DRI-0130,30,1,77.5,77.5,1,Month-to-month,DSL,Electronic check,Yes,1
CUST-DRI-0131,48,64,83.65,5301.9,4,Month-to-month,No,Electronic check,Yes,0
CUST-DRI-0132,50,72,96.98,7024.75,1,Month-to-month,Fiber optic,Credit card,Yes,0
CUST-DRI-0133,29,72,51.79,3558.35,2,Month-to-month,No,Bank transfer,Yes,0
CUST-DRI-0134,30,3,50.67,143.74,3,Month-to-month,Fiber optic,Credit card,Yes,0
CUST-DRI-0135,18,8,74.2,580.99,1,Two year,DSL,Mailed check,No,0
CUST-DRI-0136,45,1,95.89,110.97,0,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0137,35,7,62.26,464.96,2,Month-to-month,No,Electronic check,Yes,1
CUST-DRI-0138,34,1,90.35,110.1,3,Two year,DSL,Bank transfer,Yes,0
CUST-DRI-0139,54,2,87.5,218.3,5,Month-to-month,DSL,Bank transfer,No,0
CUST-DRI-0140,33,12,91.2,1045.52,4,Month-to-month,DSL,Credit card,Yes,1
CUST-DRI-0141,61,21,94.0,1929.97,2,Month-to-month,No,Electronic check,Yes,0
CUST-DRI-0142,37,1,103.11,168.62,0,Two year,No,Electronic check,No,0
CUST-DRI-0143,46,1,59.97,85.18,2,Month-to-month,Fiber optic,Bank transfer,Yes,1
CUST-DRI-0144,27,10,79.41,785.29,0,Month-to-month,DSL,Bank transfer,Yes,0
CUST-DRI-0145,18,1,87.81,122.73,0,Month-to-month,DSL,Electronic check,No,1
CUST-DRI-0146,25,1,71.22,71.22,1,Month-to-month,No,Electronic check,Yes,0
CUST-DRI-0147,42,24,140.72,3438.2,3,Month-to-month,No,Credit card,Yes,0
CUST-DRI-0148,35,17,94.77,1645.23,2,Month-to-month,DSL,Electronic check,No,1
CUST-DRI-0149,18,65,48.25,3052.14,0,Month-to-month,DSL,Electronic check,No,0
CUST-DRI-0150,48,1,118.92,132.5,7,One year,DSL,Electronic check,No,1
CUST-DRI-0151,31,1,85.83,127.85,5,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0152,32,17,65.32,1099.57,1,Month-to-month,Fiber optic,Electronic check,No,0
CUST-DRI-0153,40,1,57.8,57.8,1,Month-to-month,No,Bank transfer,No,0
CUST-DRI-0154,32,1,95.37,95.37,3,Two year,DSL,Electronic check,Yes,1
CUST-DRI-0155,39,63,53.52,3361.03,0,One year,DSL,Electronic check,Yes,0
CUST-DRI-0156,18,30,95.05,2872.88,0,Two year,Fiber optic,Electronic check,Yes,0
CUST-DRI-0157,38,53,88.49,4652.24,3,Month-to-month,No,Mailed check,No,0
CUST-DRI-0158,54,1,101.0,189.92,1,Month-to-month,DSL,Electronic check,Yes,1
CUST-DRI-0159,60,14,103.86,1463.44,1,Month-to-month,DSL,Electronic check,Yes,1
CUST-DRI-0160,40,12,107.85,1374.95,2,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0161,46,7,106.1,674.28,1,Month-to-month,Fiber optic,Electronic check,No,1
CUST-DRI-0162,35,21,73.16,1575.02,1,Month-to-month,Fiber optic,Electronic check,No,0
CUST-DRI-0163,63,72,84.64,6145.64,0,Month-to-month,DSL,Electronic check,Yes,0
CUST-DRI-0164,59,1,101.47,101.47,0,Month-to-month,DSL,Bank transfer,Yes,1
CUST-DRI-0165,26,1,90.96,90.96,6,Month-to-month,DSL,Electronic check,Yes,1
CUST-DRI-0166,56,1,99.09,134.92,0,Month-to-month,DSL,Electronic check,No,1
CUST-DRI-0167,41,1,75.8,75.8,1,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0168,30,1,84.09,162.57,0,One year,DSL,Electronic check,No,0
CUST-DRI-0169,19,1,86.77,97.1,5,Month-to-month,DSL,Mailed check,No,1
CUST-DRI-0170,19,1,79.89,79.89,4,Month-to-month,DSL,Electronic check,No,1
CUST-DRI-0171,31,1,109.76,109.76,0,Month-to-month,Fiber optic,Bank transfer,No,1
CUST-DRI-0172,43,1,77.54,99.29,0,Month-to-month,Fiber optic,Credit card,Yes,0
CUST-DRI-0173,56,11,83.73,888.24,1,Two year,DSL,Electronic check,No,1
CUST-DRI-0174,46,72,111.07,8038.84,4,Month-to-month,DSL,Credit card,Yes,0
CUST-DRI-0175,40,23,96.57,2134.62,0,Month-to-month,Fiber optic,Bank transfer,Yes,0
CUST-DRI-0176,33,1,81.3,143.95,2,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0177,53,1,81.11,81.11,2,Month-to-month,Fiber optic,Electronic check,No,1
CUST-DRI-0178,27,47,78.63,3735.47,7,One year,Fiber optic,Electronic check,Yes,1
CUST-DRI-0179,44,1,67.48,67.48,1,Month-to-month,Fiber optic,Bank transfer,Yes,0
CUST-DRI-0180,30,11,84.47,1022.4,3,Month-to-month,Fiber optic,Electronic check,No,1
CUST-DRI-0181,30,1,87.36,87.36,2,Month-to-month,DSL,Electronic check,Yes,0
CUST-DRI-0182,37,1,87.92,87.92,1,Month-to-month,No,Electronic check,Yes,0
CUST-DRI-0183,48,1,109.15,109.15,2,One year,Fiber optic,Bank transfer,Yes,0
CUST-DRI-0184,27,27,67.97,1682.92,1,One year,Fiber optic,Bank transfer,Yes,0
CUST-DRI-0185,64,1,89.07,125.34,2,Month-to-month,DSL,Electronic check,Yes,1
CUST-DRI-0186,28,9,85.35,664.84,3,Month-to-month,No,Electronic check,Yes,1
CUST-DRI-0187,32,39,84.89,3344.36,9,One year,Fiber optic,Mailed check,Yes,0
CUST-DRI-0188,32,1,68.09,68.84,0,Month-to-month,No,Electronic check,No,0
CUST-DRI-0189,62,1,78.24,78.24,3,Month-to-month,Fiber optic,Electronic check,Yes,0
CUST-DRI-0190,50,14,106.84,1482.8,0,Month-to-month,DSL,Electronic check,Yes,1
CUST-DRI-0191,59,20,81.9,1602.76,2,Month-to-month,DSL,Credit card,No,1
CUST-DRI-0192,63,51,76.43,3975.52,8,One year,Fiber optic,Electronic check,Yes,1
CUST-DRI-0193,29,1,102.32,155.99,1,Two year,Fiber optic,Mailed check,No,1
CUST-DRI-0194,41,16,82.44,1383.33,5,Month-to-month,Fiber optic,Bank transfer,No,1
CUST-DRI-0195,52,1,84.46,116.81,2,One year,DSL,Electronic check,Yes,0
CUST-DRI-0196,52,11,58.72,615.94,0,Month-to-month,DSL,Electronic check,No,1
CUST-DRI-0197,39,14,57.23,865.71,4,Month-to-month,Fiber optic,Electronic check,Yes,0
CUST-DRI-0198,36,36,65.15,2305.26,0,Month-to-month,Fiber optic,Electronic check,Yes,0
CUST-DRI-0199,46,40,70.34,2940.93,5,One year,DSL,Electronic check,No,0
CUST-DRI-0200,18,1,85.92,85.92,1,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0201,41,13,78.85,1037.54,0,Month-to-month,DSL,Electronic check,No,1
CUST-DRI-0202,39,1,90.38,96.52,4,Month-to-month,DSL,Mailed check,No,1
CUST-DRI-0203,26,18,98.85,1815.53,5,Month-to-month,DSL,Credit card,Yes,1
CUST-DRI-0204,69,1,101.84,145.6,3,One year,DSL,Bank transfer,No,1
CUST-DRI-0205,52,52,64.45,3243.23,15,Month-to-month,Fiber optic,Electronic check,Yes,0
CUST-DRI-0206,21,26,113.99,2959.88,1,Month-to-month,No,Electronic check,Yes,0
CUST-DRI-0207,42,1,70.45,189.48,0,One year,No,Credit card,No,0
CUST-DRI-0208,63,6,95.5,516.54,1,Month-to-month,DSL,Bank transfer,Yes,0
CUST-DRI-0209,37,11,93.87,960.8,2,Two year,No,Electronic check,Yes,0
CUST-DRI-0210,30,1,76.79,190.04,2,Month-to-month,DSL,Electronic check,Yes,1
CUST-DRI-0211,26,8,59.69,395.97,3,Month-to-month,Fiber optic,Bank transfer,Yes,0
CUST-DRI-0212,41,1,89.99,89.99,2,Month-to-month,DSL,Bank transfer,Yes,1
CUST-DRI-0213,28,72,81.11,5764.09,0,Month-to-month,DSL,Credit card,No,0
CUST-DRI-0214,47,3,82.22,219.24,0,Month-to-month,DSL,Mailed check,No,0
CUST-DRI-0215,31,37,109.26,4161.23,1,Month-to-month,No,Electronic check,Yes,0
CUST-DRI-0216,50,5,107.28,569.85,1,Two year,No,Credit card,No,0
CUST-DRI-0217,55,30,86.69,2593.76,2,One year,DSL,Credit card,Yes,0
CUST-DRI-0218,56,1,97.46,107.35,1,Month-to-month,DSL,Electronic check,No,1
CUST-DRI-0219,35,72,115.09,8371.4,3,Month-to-month,Fiber optic,Electronic check,No,0
CUST-DRI-0220,26,1,87.26,87.26,0,One year,Fiber optic,Electronic check,Yes,1
CUST-DRI-0221,40,4,89.24,324.95,5,Month-to-month,DSL,Electronic check,Yes,1
CUST-DRI-0222,39,2,71.59,228.78,3,Two year,DSL,Bank transfer,Yes,1
CUST-DRI-0223,42,1,123.22,182.7,3,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0224,35,1,72.04,147.5,13,Month-to-month,DSL,Credit card,Yes,1
CUST-DRI-0225,32,21,56.94,1196.78,0,Month-to-month,DSL,Electronic check,Yes,1
CUST-DRI-0226,44,1,69.74,163.09,0,One year,No,Bank transfer,No,0
CUST-DRI-0227,39,10,81.24,818.88,1,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0228,37,40,66.67,2714.87,1,Month-to-month,Fiber optic,Electronic check,No,0
CUST-DRI-0229,33,1,106.17,106.17,2,One year,DSL,Electronic check,Yes,1
CUST-DRI-0230,36,72,77.19,5599.25,2,Month-to-month,Fiber optic,Bank transfer,No,0
CUST-DRI-0231,35,17,81.82,1431.65,1,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0232,41,1,69.86,81.3,3,Month-to-month,Fiber optic,Credit card,Yes,1
CUST-DRI-0233,37,1,49.2,132.25,0,Month-to-month,Fiber optic,Electronic check,Yes,0
CUST-DRI-0234,39,6,104.99,619.36,0,Two year,No,Credit card,Yes,1
CUST-DRI-0235,57,1,67.6,67.6,1,Month-to-month,Fiber optic,Electronic check,No,0
CUST-DRI-0236,38,1,67.86,67.86,2,Month-to-month,DSL,Bank transfer,Yes,1
CUST-DRI-0237,18,1,95.08,95.08,1,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0238,26,72,84.38,6121.18,2,One year,DSL,Electronic check,Yes,0
CUST-DRI-0239,31,1,108.6,108.6,0,Month-to-month,No,Electronic check,No,0
CUST-DRI-0240,35,58,80.66,4673.32,5,Month-to-month,No,Electronic check,Yes,0
CUST-DRI-0241,38,1,99.57,99.57,2,One year,No,Electronic check,Yes,1
CUST-DRI-0242,43,1,100.47,170.26,2,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0243,18,1,109.08,109.08,0,Two year,DSL,Bank transfer,Yes,0
CUST-DRI-0244,58,32,70.34,2258.89,0,Month-to-month,Fiber optic,Electronic check,Yes,0
CUST-DRI-0245,40,1,102.79,128.31,0,Month-to-month,Fiber optic,Electronic check,No,1
CUST-DRI-0246,39,24,99.75,2285.32,0,One year,DSL,Electronic check,No,0
CUST-DRI-0247,44,3,72.28,223.64,1,Month-to-month,DSL,Credit card,Yes,0
CUST-DRI-0248,45,1,71.39,71.39,6,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0249,64,57,86.82,4957.1,0,One year,DSL,Electronic check,No,0
CUST-DRI-0250,45,1,72.05,99.91,0,Month-to-month,No,Electronic check,Yes,0
CUST-DRI-0251,31,15,81.11,1172.68,3,One year,DSL,Electronic check,Yes,0
CUST-DRI-0252,41,1,144.08,144.08,4,One year,Fiber optic,Bank transfer,Yes,1
CUST-DRI-0253,59,1,82.95,82.95,3,Month-to-month,DSL,Mailed check,Yes,1
CUST-DRI-0254,41,31,121.22,3788.32,1,Month-to-month,DSL,Electronic check,Yes,1
CUST-DRI-0255,39,9,90.74,839.84,2,Month-to-month,No,Electronic check,No,1
CUST-DRI-0256,26,6,58.71,399.89,0,Month-to-month,Fiber optic,Electronic check,Yes,0
CUST-DRI-0257,34,70,101.05,7036.44,2,Month-to-month,No,Bank transfer,Yes,0
CUST-DRI-0258,66,3,91.08,308.06,13,One year,No,Electronic check,Yes,1
CUST-DRI-0259,25,7,80.9,646.08,3,Two year,Fiber optic,Electronic check,Yes,1
CUST-DRI-0260,35,72,115.04,8328.95,0,Month-to-month,Fiber optic,Electronic check,Yes,0
CUST-DRI-0261,18,1,76.92,76.92,2,Month-to-month,DSL,Electronic check,Yes,0
CUST-DRI-0262,42,36,54.81,1989.91,1,Month-to-month,Fiber optic,Electronic check,No,0
CUST-DRI-0263,61,13,43.74,605.91,2,Month-to-month,Fiber optic,Bank transfer,Yes,0
CUST-DRI-0264,24,29,116.12,3384.37,15,Month-to-month,DSL,Electronic check,Yes,1
CUST-DRI-0265,19,1,109.86,109.86,0,Month-to-month,DSL,Electronic check,No,1
CUST-DRI-0266,25,9,71.31,736.82,3,Month-to-month,DSL,Electronic check,Yes,1
CUST-DRI-0267,41,1,87.12,139.13,0,Month-to-month,Fiber optic,Electronic check,No,1
CUST-DRI-0268,42,16,75.77,1181.11,0,One year,Fiber optic,Credit card,No,0
CUST-DRI-0269,31,1,60.95,88.96,3,Month-to-month,DSL,Bank transfer,No,1
CUST-DRI-0270,54,1,94.76,109.91,0,Month-to-month,No,Electronic check,No,0
CUST-DRI-0271,30,1,75.92,141.87,5,Month-to-month,Fiber optic,Credit card,Yes,1
CUST-DRI-0272,43,29,84.53,2424.94,5,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0273,39,33,87.71,2782.82,0,Month-to-month,DSL,Credit card,No,0
CUST-DRI-0274,39,1,77.52,78.8,5,One year,Fiber optic,Electronic check,Yes,1
CUST-DRI-0275,70,1,101.08,101.08,4,Month-to-month,No,Electronic check,No,0
CUST-DRI-0276,50,1,91.44,91.44,0,Month-to-month,Fiber optic,Electronic check,Yes,0
CUST-DRI-0277,66,1,125.74,125.74,5,Month-to-month,DSL,Electronic check,Yes,1
CUST-DRI-0278,21,17,121.63,2075.84,0,Month-to-month,Fiber optic,Electronic check,No,1
CUST-DRI-0279,49,1,84.58,84.58,3,Month-to-month,No,Electronic check,Yes,1
CUST-DRI-0280,28,27,105.49,2797.9,4,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0281,33,3,75.61,186.23,1,Two year,DSL,Bank transfer,Yes,0
CUST-DRI-0282,42,10,73.15,789.49,0,Month-to-month,DSL,Electronic check,Yes,1
CUST-DRI-0283,28,8,95.81,761.55,1,Month-to-month,DSL,Bank transfer,Yes,0
CUST-DRI-0284,44,1,114.3,178.67,0,Month-to-month,Fiber optic,Electronic check,Yes,1
CUST-DRI-0285,50,1,68.57,68.57,0,Month-to-month,No,Electronic check,No,1
CUST-DRI-0286,24,1,29.41,100.87,1,Month-to-month,Fiber optic,Electronic check,Yes,0
CUST-DRI-0287,40,27,68.62,1853.33,1,Two year,DSL,Electronic check,No,0
CUST-DRI-0288,50,24,122.8,3039.56,5,One year,DSL,Electronic check,Yes,1
CUST-DRI-0289,44,4,85.69,287.03,2,Month-to-month,Fiber optic,Bank transfer,Yes,0
CUST-DRI-0290,19,21,98.92,2081.71,1,One year,Fiber optic,Electronic check,Yes,0
CUST-DRI-0291,45,20,78.48,1623.6,0,One year,Fiber optic,Bank transfer,No,1
CUST-DRI-0292,45,26,68.37,1843.54,0,Two year,DSL,Bank transfer,No,0
